ccg_code,ccg_population
00C,105925.0
00D,287255.0
00F,205161.0
00G,149035.0
00H,129986.0
00J,243848.0
00K,286253.0
00L,319788.0
00M,287432.0
00N,153090.0
00P,282214.0
00Q,167306.0
00R,169864.0
00T,292719.0
00V,193803.0
00W,205595.0
00X,171771.0
00Y,236555.0
01A,371333.0
01C,200712.0
01D,222622.0
01E,208315.0
01F,127745.0
01G,243044.0
01H,521196.0
01J,161185.0
01K,158556.0
01M,175635.0
01N,162783.0
01R,173010.0
01T,154161.0
01V,124110.0
01W,298134.0
01X,192200.0
01Y,239359.0
02A,229099.0
02D,102260.0
02E,195310.0
02F,252262.0
02G,110060.0
02H,319709.0
02M,151427.0
02N,155628.0
02P,245203.0
02Q,111123.0
02R,326767.0
02T,211219.0
02V,199606.0
02W,105157.0
02X,308194.0
02Y,299663.0
03A,236571.0
03C,352847.0
03D,142013.0
03E,159859.0
03F,287065.0
03G,251389.0
03H,165817.0
03J,183285.0
03K,166604.0
03L,255324.0
03M,118203.0
03N,564816.0
03Q,336209.0
03R,343142.0
03T,240670.0
03V,50602.0
03W,312345.0
03X,96893.0
03Y,102414.0
04C,356968.0
04D,222444.0
04E,182683.0
04F,259343.0
04G,608353.0
04H,127091.0
04J,283908.0
04K,336905.0
04L,143288.0
04M,92615.0
04N,121117.0
04Q,128091.0
04R,523256.0
04V,364857.0
04W,587266.0
04X,240074.0
04Y,131094.0
05A,454712.0
05C,312798.0
05D,132646.0
05E,131243.0
05F,181089.0
05G,208288.0
05H,182603.0
05J,171264.0
05L,522454.0
05N,297164.0
05P,232009.0
05Q,209584.0
05R,269655.0
05T,291426.0
05V,146413.0
05W,271493.0
05X,170673.0
05Y,269684.0
06A,260052.0
06D,112396.0
06F,428498.0
06H,838931.0
06K,559890.0
06L,383661.0
06M,230777.0
06N,591159.0
06P,210642.0
06Q,376892.0
06T,324139.0
06V,166626.0
06W,204308.0
06Y,216311.0
07G,158593.0
07H,287051.0
07J,156423.0
07K,234085.0
07L,188419.0
07M,368906.0
07N,227944.0
07P,353241.0
07Q,316775.0
07R,247907.0
07T,278915.0
07V,379552.0
07W,381008.0
07X,289328.0
07Y,253207.0
08A,266974.0
08C,190660.0
08D,276115.0
08E,231031.0
08F,255026.0
08G,273328.0
08H,213574.0
08J,188676.0
08K,377836.0
08L,301725.0
08M,350513.0
08N,274998.0
08P,196822.0
08Q,318948.0
08R,210405.0
08T,182920.0
08V,261536.0
08W,283343.0
08X,364370.0
08Y,236977.0
09A,199094.0
09C,119920.0
09D,299382.0
09E,207326.0
09F,181050.0
09G,480087.0
09H,122467.0
09J,243408.0
09L,169321.0
09N,215889.0
09P,183307.0
09W,279663.0
09X,222681.0
09Y,350510.0
10A,198357.0
10C,90875.0
10D,104621.0
10E,137707.0
10G,135224.0
10H,324702.0
10J,210666.0
10K,198622.0
10L,141255.0
10M,113464.0
10N,106113.0
10Q,679966.0
10R,212965.0
10T,137233.0
10V,208372.0
10W,124135.0
10X,261571.0
10Y,196157.0
11A,534870.0
11C,149214.0
11D,153888.0
11E,194429.0
11H,464143.0
11J,761480.0
11M,611406.0
11N,549897.0
11T,209239.0
11X,536421.0
12A,254793.0
12D,215647.0
99A,484742.0
99B,331718.0
99C,215001.0
99D,154327.0
99E,260900.0
99F,177182.0
99G,182642.0
99H,291564.0
99J,460540.0
99K,163323.0
99M,214666.0
99N,465630.0
99P,893240.0
99Q,282794.0
